Image_Number,Obj_00_ImagePosLeft,Obj_00_ImagePosRight,Obj_00_ImagePosTop,Obj_00_ImagePosBottom,Obj_01_ImagePosLeft,Obj_01_ImagePosRight,Obj_01_ImagePosTop,Obj_01_ImagePosBottom,Obj_02_ImagePosLeft,Obj_02_ImagePosRight,Obj_02_ImagePosTop,Obj_02_ImagePosBottom,Obj_03_ImagePosLeft,Obj_03_ImagePosRight,Obj_03_ImagePosTop,Obj_03_ImagePosBottom,Obj_04_ImagePosLeft,Obj_04_ImagePosRight,Obj_04_ImagePosTop,Obj_04_ImagePosBottom,Obj_05_ImagePosLeft,Obj_05_ImagePosRight,Obj_05_ImagePosTop,Obj_05_ImagePosBottom,Obj_06_ImagePosLeft,Obj_06_ImagePosRight,Obj_06_ImagePosTop,Obj_06_ImagePosBottom,Obj_07_ImagePosLeft,Obj_07_ImagePosRight,Obj_07_ImagePosTop,Obj_07_ImagePosBottom,Obj_08_ImagePosLeft,Obj_08_ImagePosRight,Obj_08_ImagePosTop,Obj_08_ImagePosBottom,Obj_09_ImagePosLeft,Obj_09_ImagePosRight,Obj_09_ImagePosTop,Obj_09_ImagePosBottom
45688,587,625,461,502,516,549,458,491,468,493,449,477,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45689,585,624,461,503,515,548,460,493,467,491,444,472,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45690,586,625,461,503,516,549,460,493,468,492,446,474,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45690,586,625,461,503,516,549,460,493,468,492,446,474,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45693,588,625,461,501,516,551,457,491,470,496,447,477,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45694,589,626,461,501,517,551,457,491,471,497,449,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45695,587,625,460,502,516,549,458,491,470,493,447,474,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45696,588,626,461,502,517,550,459,491,471,494,449,476,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45697,589,626,461,502,517,551,457,492,472,497,450,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45698,589,626,461,502,517,552,457,492,472,498,451,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45699,588,627,459,501,517,550,459,491,472,495,448,474,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45700,589,627,459,501,518,551,459,491,473,496,451,477,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45701,589,627,461,501,518,552,457,491,473,499,450,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45702,590,628,461,502,518,552,457,491,474,500,452,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45703,588,628,459,502,518,551,459,491,473,496,446,472,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45704,589,628,459,502,518,551,459,491,474,497,448,475,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45705,589,628,459,501,518,552,457,490,474,500,450,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45706,590,628,459,501,519,552,457,490,475,501,452,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45707,589,628,458,500,518,551,457,490,446,471,461,481,474,498,447,473,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45708,590,629,458,500,518,552,457,490,447,472,463,484,475,499,449,475,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45709,590,629,458,500,519,553,454,488,447,474,464,486,476,502,449,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45710,591,630,458,500,519,554,454,488,448,475,466,487,476,503,451,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45711,589,628,456,498,518,552,455,488,474,499,447,474,446,471,461,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45712,589,628,456,498,519,552,455,488,475,499,449,477,446,472,463,483,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45712,589,628,456,498,519,552,455,488,475,499,449,477,446,472,463,483,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45715,590,628,456,497,518,553,452,487,477,502,450,478,448,475,463,485,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45716,591,629,456,497,518,554,453,488,477,503,451,480,449,476,465,486,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45717,590,627,455,495,518,552,452,486,397,429,460,489,477,501,450,473,448,474,459,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45718,590,627,455,495,519,553,452,486,398,430,462,491,477,502,452,476,449,475,461,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45719,591,629,454,495,519,555,450,486,398,432,462,493,478,504,451,477,450,477,462,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45720,592,630,454,495,520,556,450,486,399,432,464,495,478,505,453,479,451,478,463,485,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45721,589,628,451,493,518,555,448,484,397,430,461,489,477,501,447,471,448,476,458,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45722,590,629,451,493,519,555,449,485,397,431,462,491,478,502,450,473,449,476,459,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45723,590,629,450,493,519,557,448,485,399,431,464,491,477,503,451,476,450,478,461,483,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45724,591,629,451,493,520,558,448,485,400,432,466,493,478,504,453,478,451,479,462,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45725,590,628,449,490,519,554,446,480,398,430,459,486,478,502,443,469,450,477,455,477,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45726,590,628,449,490,520,555,446,480,399,430,461,487,479,503,445,472,451,478,457,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45727,591,629,449,491,520,556,446,481,400,431,462,489,479,505,446,473,453,480,459,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45728,592,630,450,491,521,556,446,481,400,432,463,490,480,505,448,475,454,481,460,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45729,589,627,450,491,519,554,447,481,399,428,457,483,478,502,437,465,452,477,452,473,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45730,590,628,450,491,520,555,447,482,399,428,459,484,479,503,439,467,453,478,454,475,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45731,590,628,451,491,519,554,447,481,399,430,458,485,480,504,442,470,454,480,455,477,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45732,591,628,451,491,520,555,447,481,400,431,459,487,481,505,444,472,455,481,457,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45733,590,627,451,492,519,554,449,483,397,428,459,486,479,502,440,466,453,477,455,476,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45734,590,628,451,492,520,554,449,483,398,429,461,488,479,503,442,468,453,478,457,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45734,590,628,451,492,520,554,449,483,398,429,461,488,479,503,442,468,453,478,457,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45737,591,627,452,491,520,558,445,482,399,430,460,487,480,506,442,472,456,481,457,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45738,592,628,452,491,520,558,445,483,400,431,461,488,481,507,444,474,456,482,459,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45739,591,626,453,491,520,556,448,482,398,430,459,487,481,505,444,469,455,480,457,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45740,591,627,453,491,521,556,448,483,399,431,460,488,481,506,446,471,455,481,459,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45741,591,628,451,491,521,559,446,483,399,431,460,489,482,508,447,473,456,482,462,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45742,591,628,451,491,522,559,446,483,400,432,461,490,483,509,449,475,457,483,463,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45743,588,627,450,491,520,554,450,483,397,431,459,489,480,503,447,470,454,480,460,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45744,589,628,450,492,521,555,451,484,398,432,461,490,481,504,449,472,455,481,462,483,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45745,589,629,448,492,521,557,450,485,400,433,464,492,482,506,449,474,455,482,463,485,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45746,590,630,449,492,522,558,450,485,401,433,466,494,482,507,450,476,456,483,465,486,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45747,589,626,448,489,521,554,448,481,397,431,459,488,481,504,446,470,454,481,458,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45748,589,627,448,489,521,555,448,481,398,432,461,490,482,505,448,472,455,482,460,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45749,589,627,447,488,522,557,447,482,401,434,463,491,483,507,449,474,456,483,463,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45750,590,628,447,488,522,558,448,482,402,435,464,493,483,508,450,476,457,484,465,486,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45751,588,625,445,486,522,554,447,479,398,431,459,488,482,504,443,468,454,482,457,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45752,589,626,446,486,522,555,448,480,399,432,460,489,483,505,445,470,455,483,459,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45753,589,626,445,486,521,556,446,480,401,433,462,490,483,507,446,472,456,483,462,483,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45754,589,627,446,486,522,557,446,480,402,434,463,492,484,507,448,474,457,484,463,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45755,588,625,445,485,522,554,446,478,399,432,457,485,482,505,442,467,455,482,455,476,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45756,589,626,446,486,522,555,446,478,400,432,458,487,483,505,445,469,456,483,457,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45757,589,626,446,486,521,556,444,479,400,434,459,489,484,508,446,471,456,483,458,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45758,590,627,446,486,522,557,445,479,401,435,460,490,485,509,448,473,457,484,460,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45759,587,625,446,487,521,554,446,479,399,431,457,485,482,505,441,466,454,480,454,474,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45760,588,626,446,487,521,554,447,479,399,432,458,487,483,506,443,468,455,480,456,476,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45760,588,626,446,487,521,554,447,479,399,432,458,487,483,506,443,468,455,480,456,476,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45763,589,626,446,487,521,557,444,479,401,434,459,488,484,509,443,471,457,484,458,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45764,589,626,447,487,521,557,445,480,402,434,461,489,484,510,445,473,458,485,459,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45765,588,624,448,487,520,555,445,479,400,433,457,486,483,508,437,469,457,481,456,475,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45766,589,625,448,487,521,556,446,480,401,433,459,487,484,509,440,471,457,482,458,477,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45767,588,626,447,487,521,557,444,479,400,435,457,488,484,510,440,473,458,484,461,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45768,589,626,447,487,522,558,444,480,401,436,459,489,485,511,442,475,459,485,462,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45769,587,624,445,486,519,553,446,479,398,433,457,488,482,504,441,469,454,481,457,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45770,587,625,445,486,520,554,446,479,398,434,458,489,482,504,444,472,454,481,459,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45771,587,624,446,487,520,555,445,480,398,435,459,491,483,506,444,475,456,482,462,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45772,588,625,447,487,521,555,446,480,399,436,460,492,483,507,446,477,457,482,464,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45773,586,623,447,487,520,554,445,479,399,432,457,487,482,504,442,470,454,480,458,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45774,587,623,447,487,520,554,446,479,399,433,459,488,482,505,444,472,455,480,460,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45775,588,623,448,487,520,555,445,480,399,434,459,490,483,507,446,475,457,481,464,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45776,588,624,448,487,521,556,445,480,400,435,460,491,484,508,448,477,458,482,465,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45777,586,623,446,486,520,553,447,479,398,433,457,487,482,504,442,469,454,479,459,478,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45778,587,623,447,487,520,553,447,479,398,433,459,489,483,505,444,472,455,480,461,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45779,587,623,447,486,521,555,446,479,399,436,458,491,484,507,446,475,457,481,464,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45780,588,624,447,486,521,555,446,479,399,437,459,492,484,507,448,477,458,482,465,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45781,586,623,446,486,520,552,447,480,397,434,457,488,482,504,441,470,453,479,458,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45781,586,623,446,486,520,552,447,480,397,434,457,488,482,504,441,470,453,479,458,479,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45784,587,624,446,487,521,554,448,480,399,436,458,490,484,506,443,472,455,481,460,480,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45785,586,624,446,488,519,556,445,482,399,437,459,492,483,508,444,476,457,482,463,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45786,587,625,447,488,520,557,446,482,400,438,460,493,483,508,445,477,457,482,464,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45787,587,623,449,488,518,556,445,482,399,436,461,493,482,506,440,472,454,479,462,481,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45788,587,624,449,489,519,556,445,482,399,437,462,495,483,507,442,474,455,480,464,483,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45789,588,625,448,488,520,558,446,484,400,436,462,493,483,509,441,476,457,482,463,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45790,589,625,448,488,520,558,447,484,401,437,463,494,484,510,443,478,458,482,465,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45791,586,623,448,489,519,552,451,483,397,436,460,493,482,505,444,473,452,478,461,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45792,586,624,449,489,519,552,452,484,398,437,461,495,483,505,446,476,452,478,463,483,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45793,586,623,447,488,519,552,450,483,398,437,461,495,483,506,448,477,454,479,466,486,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45794,587,624,447,488,520,553,451,483,398,437,462,497,484,506,449,479,454,479,467,487,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45795,586,623,447,487,519,551,450,482,398,437,460,493,482,504,448,475,451,478,462,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45796,586,623,447,487,519,552,450,482,398,437,461,494,483,505,450,477,452,479,464,485,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45797,586,622,447,487,520,551,451,483,398,437,462,496,483,506,451,478,453,478,467,487,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45798,587,623,448,487,520,552,452,483,399,438,463,497,483,506,452,480,453,479,468,488,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45799,585,622,450,490,517,550,452,484,398,436,460,493,481,504,448,475,451,477,462,483,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45800,586,622,450,490,518,550,452,484,399,436,462,494,482,505,450,477,451,477,463,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45800,586,622,450,490,518,550,452,484,399,436,462,494,482,505,450,477,451,477,463,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45803,586,622,451,489,519,551,452,483,399,437,460,493,483,505,452,478,453,478,465,485,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45804,587,622,451,489,519,551,452,483,400,438,461,494,484,506,453,480,454,478,466,486,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45805,585,621,450,490,518,549,452,483,398,437,460,493,481,504,449,475,451,476,462,482,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45806,585,622,450,490,518,550,453,484,399,437,461,494,481,504,451,477,452,476,464,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45807,585,622,450,490,519,551,452,483,399,438,461,494,482,505,452,479,452,477,465,485,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45808,586,622,450,490,519,551,452,484,399,438,462,495,482,505,454,480,453,477,466,486,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45809,585,622,450,490,517,549,453,485,400,438,460,493,480,504,452,479,452,476,464,484,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45810,585,622,451,491,517,549,454,485,400,439,461,494,481,504,453,481,453,476,465,486,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45811,585,621,451,491,517,549,453,485,400,440,461,496,481,504,456,482,453,476,466,486,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45812,585,622,452,491,517,550,454,486,401,440,462,497,482,505,457,484,453,476,467,487,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45813,585,622,451,491,517,550,454,487,401,441,461,496,481,504,454,479,454,476,464,485,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45814,585,622,451,492,517,550,455,488,401,442,462,497,481,505,456,481,455,477,466,487,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45815,585,621,451,491,517,550,455,488,402,442,461,496,482,504,457,482,455,477,466,487,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45816,585,622,452,491,517,551,456,489,402,442,462,497,482,505,459,483,456,477,467,488,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45817,585,622,452,493,517,551,456,490,402,443,463,498,480,505,457,482,455,476,466,487,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45818,585,623,453,493,517,551,456,490,403,444,464,500,481,505,458,483,456,476,467,488,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
45818,585,623,453,493,517,551,456,490,403,444,464,500,481,505,458,483,456,476,467,488,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960,1280,1280,960,960
