ImageNumber,Obj_0_X1,Obj_0_X2,Obj_0_Y1,Obj_0_Y2,Obj_1_X1,Obj_1_X2,Obj_1_Y1,Obj_1_Y2,Obj_2_X1,Obj_2_X2,Obj_2_Y1,Obj_2_Y2,Obj_3_X1,Obj_3_X2,Obj_3_Y1,Obj_3_Y2,Obj_4_X1,Obj_4_X2,Obj_4_Y1,Obj_4_Y2,Obj_5_X1,Obj_5_X2,Obj_5_Y1,Obj_5_Y2,Obj_6_X1,Obj_6_X2,Obj_6_Y1,Obj_6_Y2
45720,588.1666667,625.3333333,461,503.8333333,,,,,,,,,,,,,,,,,,,,,,,,
45721,588.3333333,625.6666667,460,502.6666667,,,,,,,,,,,,,,,,,,,,,,,,
45722,588.5,626,459,501.5,,,,,,,,,,,,,,,,,,,,,,,,
45723,588.6666667,626.3333333,458,500.3333333,,,,,,,,,,,,,,,,,,,,,,,,
45724,588.8333333,626.6666667,457,499.1666667,,,,,,,,,,,,,,,,,,,,,,,,
45725,589,627,456,498,,,,,,,,,,,,,,,,,,,,,,,,
45726,588.5,626.5,456.5,498.5,,,,,,,,,,,,,,,,,,,,,,,,
45727,588,626,457,499,,,,,,,,,,,,,,,,,,,,,,,,
45728,588,626,457.75,499.5,,,,,,,,,,,,,,,,,,,,,,,,
45729,588,626,458.5,500,,,,,,,,,,,,,,,,,,,,,,,,
45730,588,626,459.25,500.5,,,,,,,,,,,,,,,,,,,,,,,,
45731,588,626,460,501,,,,,,,,,,,,,,,,,,,,,,,,
45732,588,626,460,501,,,,,,,,,,,,,,,,,,,,,,,,
45733,588,626,460,501,,,,,,,,,,,,,,,,,,,,,,,,
45734,588,626,460,501,,,,,,,,,,,,,,,,,,,,,,,,
45735,588,626,460,501,,,,,,,,,,,,,,,,,,,,,,,,
45736,588.477661,626.2566225,460.2400665,501.0015715,,,,,,,,,,,,,,,,,,,,,,,,
45737,588.955322,626.513245,460.480133,501.003143,,,,,,,,,,,,,,,,,,,,,,,,
45738,588.477661,626.2566225,460.2400665,501.0015715,,,,,,,,,,,,,,,,,,,,,,,,
45739,588,626,460,501,,,,,,,,,,,,,,,,,,,,,,,,
45740,587.874481,625.8827515,459.683304,500.6922455,,,,,,,,,,,,,,,,,,,,,,,,
45741,587.748962,625.765503,459.366608,500.384491,,,,,,,,,,,,,,,,,,,,,,,,
45742,587.874481,625.8827515,458.683304,500.1922455,,,,,,,,,,,,,,,,,,,,,,,,
45743,588,626,458,500,,,,,,,,,,,,,,,,,,,,,,,,
45744,587.875,625.875,457.625,499.5,,,,,,,,,,,,,,,,,,,,,,,,
45745,587.75,625.75,457.25,499,,,,,,,,,,,,,,,,,,,,,,,,
45746,587.625,625.625,456.875,498.5,,,,,,,,,,,,,,,,,,,,,,,,
45747,587.5,625.5,456.5,498,,,,,,,,,,,,,,,,,,,,,,,,
45748,587.375,625.375,456.125,497.5,,,,,,,,,,,,,,,,,,,,,,,,
45749,587.25,625.25,455.75,497,,,,,,,,,,,,,,,,,,,,,,,,
45750,587.125,625.125,455.375,496.5,,,,,,,,,,,,,,,,,,,,,,,,
45751,587,625,455,496,,,,,,,,,,,,,,,,,,,,,,,,
45752,587,625,454,495.5,,,,,,,,,,,,,,,,,,,,,,,,
45753,587,625,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45754,586.9230769,624.8846154,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45755,586.8461538,624.7692308,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45756,586.7692308,624.6538462,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45757,586.6923077,624.5384615,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45758,586.6153846,624.4230769,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45759,586.5384615,624.3076923,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45760,586.4615385,624.1923077,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45761,586.3846154,624.0769231,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45762,586.3076923,623.9615385,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45763,586.2307692,623.8461538,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45764,586.1538462,623.7307692,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45765,586.0769231,623.6153846,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45766,586,623.5,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45767,585.9230769,623.3846154,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45768,585.8461538,623.2692308,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45769,585.7692308,623.1538462,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45770,585.6923077,623.0384615,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45771,585.6153846,622.9230769,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45772,585.5384615,622.8076923,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45773,585.4615385,622.6923077,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45774,585.3846154,622.5769231,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45775,585.3076923,622.4615385,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45776,585.2307692,622.3461538,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45777,585.1538462,622.2307692,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45778,585.0769231,622.1153846,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45779,585,622,453,495,,,,,,,,,,,,,,,,,,,,,,,,
45780,584.8134765,622.2979735,452.8067475,495.35672,,,,,,,,,,,,,,,,,,,,,,,,
45781,584.626953,622.595947,452.613495,495.71344,,,,,,,,,,,,,,,,,,,,,,,,
45782,584.515442,622.433136,453.055664,496.0973815,,,,,,,,,,,,,,,,,,,,,,,,
45783,584.403931,622.270325,453.497833,496.481323,,,,,,,,,,,,,,,,,,,,,,,,
45784,584.7019655,622.6351625,454.2489165,497.2406615,,,,,,,,,,,,,,,,,,,,,,,,
45785,585,623,455,498,,,,,,,,,,,,,,,,,,,,,,,,
45786,584.6163635,622.223419,455.643036,498.264572,,,,,,,,,,,,,,,,,,,,,,,,
45787,584.232727,621.446838,456.286072,498.529144,,,,,,,,,,,,,,,,,,,,,,,,
45788,584.1718445,621.1394955,456.4588015,498.422119,,,,,,,,,,,,,,,,,,,,,,,,
45789,584.110962,620.832153,456.631531,498.315094,,,,,,,,,,,,,,,,,,,,,,,,
45790,584.090088,620.836853,456.310425,498.0230105,,,,,,,,,,,,,,,,,,,,,,,,
45791,584.069214,620.841553,455.989319,497.730927,,,,,,,,,,,,,,,,,,,,,,,,
45792,584.534607,620.9207765,455.4946595,496.8654635,,,,,,,,,,,,,,,,,,,,,,,,
45793,585,621,455,496,,,,,,,,,,,,,,,,,,,,,,,,
45794,585,621,455,496,,,,,,,,,,,,,,,,,,,,,,,,
45795,585,621,455,496,,,,,,,,,,,,,,,,,,,,,,,,
45796,584.8333333,621,455.1666667,496.3333333,,,,,,,,,,,,,,,,,,,,,,,,
45797,584.6666667,621,455.3333333,496.6666667,,,,,,,,,,,,,,,,,,,,,,,,
45798,584.5,621,455.5,497,,,,,,,,,,,,,,,,,,,,,,,,
45799,584.3333333,621,455.6666667,497.3333333,,,,,,,,,,,,,,,,,,,,,,,,
45800,584.1666667,621,455.8333333,497.6666667,,,,,,,,,,,,,,,,,,,,,,,,
45801,584,621,456,498,,,,,,,,,,,,,,,,,,,,,,,,
45802,584.4710695,621.654297,455.7785795,497.9865875,,,,,,,,,,,,,,,,,,,,,,,,
45803,584.942139,622.308594,455.557159,497.973175,,,,,,,,,,,,,,,,,,,,,,,,
45804,584.4710695,622.154297,455.2785795,497.9865875,,,,,,,,,,,,,,,,,,,,,,,,
45805,584,622,455,498,,,,,,,,,,,,,,,,,,,,,,,,
45806,583.9108275,622.021057,455.03421,498.1589355,,,,,,,,,,,,,,,,,,,,,,,,
45807,583.821655,622.042114,455.06842,498.317871,,,,,,,,,,,,,,,,,,,,,,,,
45808,583.810455,621.742584,455.516113,498.4393005,,,,,,,,,,,,,,,,,,,,,,,,
45809,583.799255,621.443054,455.963806,498.56073,,,,,,,,,,,,,,,,,,,,,,,,
45810,583.8996275,621.721527,456.481903,499.280365,,,,,,,,,,,,,,,,,,,,,,,,
45811,584,622,457,500,,,,,,,,,,,,,,,,,,,,,,,,
45812,584.2,622.1,457.5,500.4,,,,,,,,,,,,,,,,,,,,,,,,
45813,584.4,622.2,458,500.8,,,,,,,,,,,,,,,,,,,,,,,,
45814,584.6,622.3,458.5,501.2,,,,,,,,,,,,,,,,,,,,,,,,
45815,584.8,622.4,459,501.6,,,,,,,,,,,,,,,,,,,,,,,,
45816,585,622.5,459.5,502,,,,,,,,,,,,,,,,,,,,,,,,
45817,585.2,622.6,460,502.4,,,,,,,,,,,,,,,,,,,,,,,,
45818,585.4,622.7,460.5,502.8,,,,,,,,,,,,,,,,,,,,,,,,
45819,585.6,622.8,461,503.2,,,,,,,,,,,,,,,,,,,,,,,,
45820,585.8,622.9,461.5,503.6,,,,,,,,,,,,,,,,,,,,,,,,
45821,586,623,462,504,,,,,,,,,,,,,,,,,,,,,,,,
45822,585.5,622.5,462,504.5,,,,,,,,,,,,,,,,,,,,,,,,
45823,585,622,462,505,,,,,,,,,,,,,,,,,,,,,,,,
45824,585,622,463,506,,,,,,,,,,,,,,,,,,,,,,,,
45825,585,622,464,507,,,,,,,,,,,,,,,,,,,,,,,,
45826,585.5,622.5,464.5,507.5,,,,,,,,,,,,,,,,,,,,,,,,
45827,586,623,465,508,,,,,,,,,,,,,,,,,,,,,,,,
45828,586,623,465.25,508,,,,,,,,,,,,,,,,,,,,,,,,
45829,586,623,465.5,508,,,,,,,,,,,,,,,,,,,,,,,,
45830,586,623,465.75,508,,,,,,,,,,,,,,,,,,,,,,,,
45831,586,623,466,508,,,,,,,,,,,,,,,,,,,,,,,,
45832,586.25,623.25,466.25,508,,,,,,,,,,,,,,,,,,,,,,,,
45833,586.5,623.5,466.5,508,,,,,,,,,,,,,,,,,,,,,,,,
45834,586.75,623.75,466.75,508,,,,,,,,,,,,,,,,,,,,,,,,
45835,587,624,467,508,,,,,,,,,,,,,,,,,,,,,,,,
45836,587.5,624.5,467,508,,,,,,,,,,,,,,,,,,,,,,,,
45837,588,625,467,508,,,,,,,,,,,,,,,,,,,,,,,,
45838,588,625,467,508.5,,,,,,,,,,,,,,,,,,,,,,,,
45839,588,625,467,509,,,,,,,,,,,,,,,,,,,,,,,,
45840,588.5,625.5,468,509.5,,,,,,,,,,,,,,,,,,,,,,,,
45841,589,626,469,510,,,,,,,,,,,,,,,,,,,,,,,,
45842,589.3423765,625.968811,469.7203675,510.2548525,,,,,,,,,,,,,,,,,,,,,,,,
45843,589.684753,625.937622,470.440735,510.509705,,,,,,,,,,,,,,,,,,,,,,,,
45844,589.8423765,625.968811,470.7203675,511.2548525,,,,,,,,,,,,,,,,,,,,,,,,
45845,590,626,471,512,,,,,,,,,,,,,,,,,,,,,,,,
45846,590,626,472,513.5,,,,,,,,,,,,,,,,,,,,,,,,
45847,590,626,473,515,,,,,,,,,,,,,,,,,,,,,,,,
45848,590.5,626.5,473.5,515,,,,,,,,,,,,,,,,,,,,,,,,
45849,591,627,474,515,,,,,,,,,,,,,,,,,,,,,,,,
45850,591,627,473.5,514.5,,,,,,,,,,,,,,,,,,,,,,,,
45851,591,627,473,514,,,,,,,,,,,,,,,,,,,,,,,,
45852,590.761963,627.266449,471.9191285,512.924103,,,,,,,,,,,,,,,,,,,,,,,,
45853,590.523926,627.532898,470.838257,511.848206,,,,,,,,,,,,,,,,,,,,,,,,
45854,590.7339785,627.6725465,470.090042,511.0219575,,,,,,,,,,,,,,,,,,,,,,,,
45855,590.944031,627.812195,469.341827,510.195709,,,,,,,,,,,,,,,,,,,,,,,,
45856,591.2915955,627.7702025,469.3978115,509.8200225,,,,,,,,,,,,,,,,,,,,,,,,
45857,591.63916,627.72821,469.453796,509.444336,,,,,,,,,,,,,,,,,,,,,,,,
45858,592.31958,628.364105,469.726898,510.222168,,,,,,,,,,,,,,,,,,,,,,,,
45859,593,629,470,511,,,,,,,,,,,,,,,,,,,,,,,,
45860,593,629,470.25,511.5,,,,,,,,,,,,,,,,,,,,,,,,
45861,593,629,470.5,512,,,,,,,,,,,,,,,,,,,,,,,,
45862,593,629,470.75,512.5,,,,,,,,,,,,,,,,,,,,,,,,
45863,593,629,471,513,,,,,,,,,,,,,430,477,482,524,,,,,,,,
45864,593.1666667,629.1666667,472.1666667,514.1666667,,,,,,,,,,,,,431,478,483,525,,,,,,,,
45865,593.3333333,629.3333333,473.3333333,515.3333333,,,,,,,,,,,,,432,479,484,526,,,,,,,,
45866,593.5,629.5,474.5,516.5,,,,,,,,,,,,,432.5,479.5,485,527,,,,,,,,
45867,593.6666667,629.6666667,475.6666667,517.6666667,,,,,,,,,,,,,433,480,486,528,,,,,,,,
45868,593.8333333,629.8333333,476.8333333,518.8333333,,,,,,,,,,,,,433.7564545,480.9005585,486.9488985,529.077667,,,,,,,,
45869,594,630,478,520,,,,,,,,,,,,,434.512909,481.801117,487.897797,530.155334,,,,,,,,
45870,593.99765,629.7790525,478.490021,520.235016,,,,,,,,,,,,,435.1733095,482.4615175,488.376175,530.6336975,,,,,,,,
45871,593.9953,629.558105,478.980042,520.470032,,,,,,,,,,,,,435.83371,483.121918,488.854553,531.112061,,,,,,,,
45872,593.49765,629.2790525,478.490021,520.735016,,,,,,,,,,,,,436.614624,484.193222,488.7230835,531.240082,,,,,,,,
45873,593,629,478,521,,,,,,,,,,,,,437.395538,485.264526,488.591614,531.368103,,,,,,,,
45874,592.5,629,477.5,520.5,,,,,,,,,,,,,437.697769,485.632263,488.295807,531.1840515,,,,,,,,
45875,592,629,477,520,,,,,,,,,,,,,438,486,488,531,,,,,,,,
45876,592.5,629.5,476,519.5,,,,,,,,,,,,,439.2638855,487.417526,487.774338,530.858429,,,,,,,,
45877,593,630,475,519,,,,,,,,,,,,,440.527771,488.835052,487.548676,530.716858,,,,,,,,
45878,593,630,475,518.5,,,,,,,,,,,,,441.3636475,489.784393,486.8946535,530.1642455,,,,,,,,
45879,593,630,475,518,,,,,,,,,,,,,442.199524,490.733734,486.240631,529.611633,,,,,,,,
45880,592.5,629.5,474.5,518,,,,,,,,,,,,,443.2126315,491.630829,485.962036,529.22937,,,,,,,,
45881,592,629,474,518,,,,,,,,,,,,,444.225739,492.527924,485.683441,528.847107,,,,,,,,
45882,592.1666667,629.1666667,474.3333333,518.1666667,,,,,,,,,,,,,444.9504855,493.4961245,485.7631375,529.1443785,,,,,,,,
45883,592.3333333,629.3333333,474.6666667,518.3333333,,,,,,,,,,,,,445.675232,494.464325,485.842834,529.44165,,,,,,,,
45884,592.5,629.5,475,518.5,,,,,,,,,,,,,446.337616,495.2321625,486.421417,529.720825,,,,,,,,
45885,592.6666667,629.6666667,475.3333333,518.6666667,,,,,,,,,,,,,447,496,487,530,,,,,,,,
45886,592.8333333,629.8333333,475.6666667,518.8333333,,,,,,,,,,,,,447,497.5,487.5,531,,,,,,,,
45887,593,630,476,519,,,,,,,,,,,,,447,499,488,532,,,,,,,,
45888,592.75,629.75,475.75,518.5,,,,,,,,,,,,,449,501.5,487,531.5,,,,,,,,
45889,592.5,629.5,475.5,518,,,,,,,,,,,,,451,504,486,531,,,,,,,,
45890,592.25,629.25,475.25,517.5,,,,,,,,,,,,,450.6105805,503.613098,485.694397,530.619629,,,,,,,,
45891,592,629,475,517,,,,,,,,,,,,,450.221161,503.226196,485.388794,530.239258,,,,,,,,
45892,591.9777525,628.641327,475.1471865,516.7652895,,,,,,,,,,,,,451.0071105,504.142395,485.304291,530.2649535,,,,,,,,
45893,591.955505,628.282654,475.294373,516.530579,,,,,,,,,,,,,451.79306,505.058594,485.219788,530.290649,,,,,,,,
45894,591.9777525,628.141327,475.6471865,517.2652895,,,,,,,,,,,,,453.39653,507.029297,485.109894,530.6453245,,,,,,,,
45895,592,628,476,518,,,,,,,,,,,,,455,509,485,531,,,,,,,,
45896,591.9236755,627.7609255,477.0605775,518.308258,,,,,,,,,,,,,455.1507415,508.8199005,486.229248,531.795471,,,,,,,,
45897,591.847351,627.521851,478.121155,518.616516,,,,,,,,,,,,,455.301483,508.639801,487.458496,532.590942,,,,,,,,
45898,591.9236755,628.2609255,477.5605775,518.308258,,,,,,,,,,,,,456.322357,509.529358,487.513336,532.534668,,,,,,,,
45899,592,629,477,518,,,,,,,,,,,,,457.343231,510.418915,487.568176,532.478394,,,,,,,,
45900,592,628.5,476.5,518.5,,,,,,,,,,,,,458.1716155,511.2094575,487.284088,532.239197,,,,,,,,
45901,592,628,476,519,,,,,,,,,,,,,459,512,487,532,,,,,,,,
45902,591.8482665,627.916687,476.751816,518.27359,,,,,,,,,,,,,460.5,513.5,487.5,532.5,,,,,,,,
45903,591.696533,627.833374,477.503632,517.54718,,,,,,,,,,,,,462,515,488,533,,,,,,,,
45904,591.3482665,627.916687,477.251816,519.77359,,,,,,,,,,,,,462,515.5,488,534.5,,,,,,,,
45905,591,628,477,522,,,,,,,,,,,,,462,516,488,536,,,,,,,,
45906,591,628,478,522.75,,,,,,,,,,,,,462.8605805,517.1309205,489.258606,537.4989015,,,,,,,,
45907,591,628,479,523.5,,,,,,,,,,,,,463.721161,518.261841,490.517212,538.997803,,,,,,,,
45908,591,628,480,524.25,,,,,,,,,,,,,464.598709,519.4452515,491.412155,540.1646425,,,,,,,,
45909,591,628,481,525,,,,,,,,,,,,,465.476257,520.628662,492.307098,541.331482,,,,,,,,
45910,591,628,481.25,525.25,,,,,,,,,,,,,466.3097225,521.678589,492.5637055,541.780487,,,,,,,,
45911,591,628,481.5,525.5,,,,,,,,,,,,,467.143188,522.728516,492.820313,542.229492,,,,,,,,
45912,591,628,481.75,525.75,,,,,,,,,,,,,468.071594,524.364258,492.4101565,541.614746,,,,,,,,
45913,591,628,482,526,,,,,,,,,,,,,469,526,492,541,,,,,,,,
45914,591,628,481.3333333,525.1666667,,,,,,,,,,,,,469.8026885,527.5366515,491.097458,540.728424,,,,,,,,
45915,591,628,480.6666667,524.3333333,,,,,,,,,,,,,470.605377,529.073303,490.194916,540.456848,,,,,,,,
45916,591,628,480,523.5,,,,,,,,,,,,,471.591293,530.2121275,489.553894,539.947296,,,,,,,,
45917,591,628,479.3333333,522.6666667,,,,,,,,,,,,,472.577209,531.350952,488.912872,539.437744,,,,,,,,
45918,591,628,478.6666667,521.8333333,,,,,,,,,,,,,473.3986205,532.370575,488.346649,539.041931,,,,,,,,
45919,591,628,478,521,,,,,,,,,,,,,474.220032,533.390198,487.780426,538.646118,,,,,,,,
45920,591,628.2,477.8,520.8,,,,,,,,,,,,,475.1480255,534.7504275,487.360321,538.597595,,,,,,,,
45921,591,628.4,477.6,520.6,,,,,,,,,,,,,476.076019,536.110657,486.940216,538.549072,,,,,,,,
45922,591,628.6,477.4,520.4,,,,,,,,,,,,,477.5380095,537.0553285,486.970108,537.774536,,,,,,,,
45923,591,628.8,477.2,520.2,,,,,,,,,,,,,479,538,487,537,,,,,,,,
45924,591,629,477,520,,,,,,,,,,,,,480.172699,538.8370665,486.9868315,536.7023925,,,,,,,,
45925,591,629.2,476.8,519.8,,,,,,,,,,,,,481.345398,539.674133,486.973663,536.404785,,,,,,,,
45926,591,629.4,476.6,519.6,,,,,,,,,,,,,482.6121215,540.776672,487.03569,536.3276975,,,,,,,,
45927,591,629.6,476.4,519.4,,,,,,,,,,,,,483.878845,541.879211,487.097717,536.25061,,,,,,,,
45928,591,629.8,476.2,519.2,,,,,,,,,,,,,484.9677735,542.9974365,486.901611,536.079315,,,,,,,,
45929,591,630,476,519,,,,,,,,,,,,,486.056702,544.115662,486.705505,535.90802,,,,,,,,
45930,591,630,476,519,,,,,,,,,,,,,487.136383,545.365326,486.700729,536.047302,,,,,,,,
45931,591,630,476,519,,,,,,,,,,,,,488.216064,546.61499,486.695953,536.186584,,,,,,,,
45932,591,630,476,519,,,,,,,,,,,,,489.168121,547.808258,486.606445,536.301483,,,,,,,,
45933,591,630,476,519,,,,,,,,,,,,,490.120178,549.001526,486.516937,536.416382,,,,,,,,
45934,591.1666667,630,475.5,518.5,,,,,,,,,,,,,490.8838345,550.1430055,486.1201935,536.339844,,,,,,,,
45935,591.3333333,630,475,518,,,,,,,,,,,,,491.647491,551.284485,485.72345,536.263306,,,,,,,,
45936,591.5,630,474.5,517.5,,,,,,,,,,,,,492.6382595,552.30484,485.08609,535.6510315,,,,,,,,
45937,591.6666667,630,474,517,,,,,,,,,,,,,493.629028,553.325195,484.44873,535.038757,,,,,,,,
45938,591.8333333,630,473.5,516.5,,,,,,,,,,,,,494.5188445,554.365326,483.66835,534.385742,,,,,,,,
45939,592,630,473,516,,,,,,,,,,,,,495.408661,555.405457,482.88797,533.732727,,,,,,,,
45940,592,629.8333333,472.8333333,515.6666667,,,,,,,,,,,,,496.483246,556.6795655,482.2120055,533.22583,,,,,,,,
45941,592,629.6666667,472.6666667,515.3333333,,,,,,,,,,,,,497.557831,557.953674,481.536041,532.718933,,,,,,,,
45942,592,629.5,472.5,515,,,,,,,,,,,,,497.6873475,559.1268005,480.7798005,532.847107,,,,,,,,
45943,592,629.3333333,472.3333333,514.6666667,,,,,,,,,,,,,497.816864,560.299927,480.02356,532.975281,,,,,,,,
45944,592,629.1666667,472.1666667,514.3333333,,,,,,,,,,,,,498.9144135,561.562134,480.049622,533.1408695,,,,,,,,
45945,592,629,472,514,,,,,,,,,,,,,500.011963,562.824341,480.075684,533.306458,,,,,,,,
45946,,,,,,,,,,,,,,,,,500.967789,563.9348145,480.55188,533.9136965,,,,,,,,
45947,,,,,,,,,,,,,,,,,501.923615,565.045288,481.028076,534.520935,,,,,,,,
45948,,,,,,,,,,,,,,,,,504.4618075,566.522644,482.514038,535.2604675,,,,,,,,
45949,,,,,,,,,,,,,,,,,507,568,484,536,,,,,,,,
45950,,,,,,,,,,,,,,,,,508,569,483.9,535.9,,,,,,,,
45951,,,,,,,,,,,,,,,,,509,570,483.8,535.8,,,,,,,,
45952,,,,,,,,,,,,,,,,,510,571,483.7,535.7,,,,,,,,
45953,,,,,,,,,,,,,,,,,511,572,483.6,535.6,,,,,,,,
45954,,,,,,,,,,,,,,,,,512,573,483.5,535.5,,,,,,,,
45955,,,,,,,,,,,,,,,,,513,574,483.4,535.4,,,,,,,,
45956,,,,,,,,,,,,,,,,,514,575,483.3,535.3,,,,,,,,
45957,,,,,,,,,,,,,,,,,515,576,483.2,535.2,,,,,,,,
45958,,,,,,,,,,,,,,,,,516,577,483.1,535.1,,,,,,,,
45959,,,,,,,,,,,,,,,,,517,578,483,535,,,,,,,,
45960,,,,,,,,,,,,,,,,,518.0714286,579.5714286,483.1428571,535.1428571,,,,,,,,
45961,,,,,,,,,,,,,,,,,519.1428571,581.1428571,483.2857143,535.2857143,,,,,,,,
45962,,,,,,,,,,,,,,,,,520.2142857,582.7142857,483.4285714,535.4285714,,,,,,,,
45963,,,,,,,,,,,,,,,,,521.2857143,584.2857143,483.5714286,535.5714286,,,,,,,,
45964,,,,,,,,,,,,,,,,,522.3571429,585.8571429,483.7142857,535.7142857,,,,,,,,
45965,,,,,,,,,,,,,,,,,523.4285714,587.4285714,483.8571429,535.8571429,,,,,,,,
45966,,,,,,,,,,,,,,,,,524.5,589,484,536,,,,,,,,
45967,,,,,,,,,,,,,,,,,525.5714286,590.5714286,484.1428571,536.1428571,,,,,,,,
45968,,,,,,,,,,,,,,,,,526.6428571,592.1428571,484.2857143,536.2857143,,,,,,,,
45969,,,,,,,,,,,,,,,,,527.7142857,593.7142857,484.4285714,536.4285714,,,,,,,,
45970,,,,,,,,,,,,,,,,,528.7857143,595.2857143,484.5714286,536.5714286,,,,,,,,
45971,,,,,,,,,,,,,,,,,529.8571429,596.8571429,484.7142857,536.7142857,,,,,,,,
45972,,,,,,,,,,,,,,,,,530.9285714,598.4285714,484.8571429,536.8571429,,,,,,,,
45973,,,,,,,,,,,,,,,,,532,600,485,537,,,,,,,,
